OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
445,21866,24,2421866,B5,G6350,S,21866,24,318387,0,78,74,77,0,0,0,0,0,0,1,98.7,0,0,0,0,0,0,1.3,28,35.9,59,6,8.1,52.4,38.9,14.3,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21866.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21866.pdf,4318.95378659577,513116.435327926
446,21867,24,2421867,B5,G6350,S,21867,24,709892,0,114,69,86,26,1,0,0,0,1,0,75.4,22.8,0.9,0,0,0,0.9,0,12,10.5,40.5,14,20.3,61.2,21.1,22.4,48.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21867.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21867.pdf,4825.74107972689,1148491.7835727
447,21869,24,2421869,B5,G6350,S,21869,24,245571192,34322672,1006,561,744,220,6,2,0,3,17,14,74,21.9,0.6,0.2,0,0.3,1.7,1.4,223,22.2,48,77,13.7,39.9,50.1,20,40.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21869.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21869.pdf,434985.571244752,416937410.547138
448,21871,24,2421871,B5,G6350,S,21871,24,175572653,17958893,2124,1080,1514,523,6,13,1,1,30,36,71.3,24.6,0.3,0.6,0,0,1.4,1.7,379,17.8,45.9,154,14.3,45.9,42.2,20.5,25.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21871.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21871.pdf,333995.568035571,284856539.441543
449,21872,24,2421872,B5,G6350,S,21872,24,46808316,216712,718,307,600,85,2,13,0,0,9,9,83.6,11.8,0.3,1.8,0,0,1.3,1.3,109,15.2,45.2,28,9.1,50.6,39.6,16.2,25.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21872.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21872.pdf,46828.3668851822,76725009.8207204
450,21874,24,2421874,B5,G6350,S,21874,24,69407025,113317,2210,917,1973,111,4,28,0,2,32,60,89.3,5,0.2,1.3,0,0.1,1.4,2.7,256,11.6,38.1,65,7.1,54,29.6,23.3,33.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21874.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21874.pdf,65151.175645641,113342179.543565
451,21875,24,2421875,B5,G6350,S,21875,24,60796561,93909,6467,2796,4853,976,12,238,0,5,159,224,75,15.1,0.2,3.7,0,0.1,2.5,3.5,700,10.8,37.1,283,10.1,51.4,25.8,30.7,35.1,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21875.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21875.pdf,80007.0716046657,99406502.1994452
452,21890,24,2421890,B5,G6350,S,21890,24,342406,1649,3240,0,811,2392,1,2,0,0,6,28,25,73.8,0,0.1,0,0,0.2,0.9,50,1.5,35.6,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21890.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21890.pdf,3373.65279864026,557345.55758657
453,21901,24,2421901,B5,G6350,S,21901,24,127422037,8413939,15875,6648,14350,665,36,160,0,5,270,389,90.4,4.2,0.2,1,0,0,1.7,2.5,1632,10.3,37,413,6.2,55.6,21.8,28.9,32.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21901.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21901.pdf,157636.735623482,215797019.647006
454,21902,24,2421902,B5,G6350,S,21902,24,2083319,0,471,43,270,186,5,3,4,0,2,1,57.3,39.5,1.1,0.6,0.8,0,0.4,0.2,122,25.9,55.6,9,20.9,19,0,81,41.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21902.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21902.pdf,9960.14973513564,3508730.74562325
455,21903,24,2421903,B5,G6350,S,21903,24,31427354,246434,5687,2613,4822,447,25,69,3,17,105,199,84.8,7.9,0.4,1.2,0.1,0.3,1.8,3.5,750,13.2,42.2,188,7.2,53.3,22.4,31.4,28.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21903.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21903.pdf,55681.9757407771,53352214.9059961
456,21904,24,2421904,B5,G6350,S,21904,24,61208326,6533406,7252,2871,6493,371,24,38,0,7,148,171,89.5,5.1,0.3,0.5,0,0.1,2,2.4,775,10.7,40.7,231,8,59.4,27.6,17.9,30.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21904.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21904.pdf,62715.3281422271,104165395.951608
457,21911,24,2421911,B5,G6350,S,21911,24,96719926,686672,11004,4081,10486,68,29,57,5,3,124,232,95.3,0.6,0.3,0.5,0,0,1.1,2.1,1385,12.6,38.7,182,4.5,57.9,25.3,22.5,25.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21911.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21911.pdf,108489.315969652,164335663.556885
458,21912,24,2421912,B5,G6350,S,21912,24,81430162,3579873,1231,508,1042,92,2,4,0,6,8,77,84.6,7.5,0.2,0.3,0,0.5,0.6,6.3,141,11.5,40.9,32,6.3,56.9,26.6,22.5,23.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21912.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21912.pdf,97269.1398973603,137123125.287406
459,21913,24,2421913,B5,G6350,S,21913,24,1165581,0,663,264,524,78,0,3,2,0,9,47,79,11.8,0,0.5,0.3,0,1.4,7.1,85,12.8,35.4,24,9.1,45.1,27.7,37.6,38,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21913.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21913.pdf,5679.88660439035,1954838.55825584
460,21914,24,2421914,B5,G6350,S,21914,24,1903165,477110,765,428,734,0,1,4,0,0,7,19,95.9,0,0.1,0.5,0,0,0.9,2.5,117,15.3,43.6,40,9.3,55.3,29.4,21.7,35.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21914.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21914.pdf,12923.9553154538,3215389.56776834
461,21915,24,2421915,B5,G6350,S,21915,24,65591600,12194841,3030,1582,2784,54,4,11,6,0,19,152,91.9,1.8,0.1,0.4,0.2,0,0.6,5,504,16.6,46,105,6.6,55.3,29.7,21.4,29.9,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21915.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21915.pdf,102892.359185391,111710057.668357
462,21916,24,2421916,B5,G6350,S,21916,24,233632,0,37,0,37,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,30,81.1,71.8,0,0,0,0,0,0,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21916.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21916.pdf,3068.57389764652,394491.145826143
463,21917,24,2421917,B5,G6350,S,21917,24,20265281,146369,2520,907,2387,30,2,17,1,8,38,37,94.7,1.2,0.1,0.7,0,0.3,1.5,1.5,310,12.3,42,39,4.3,68.2,22.1,12.5,16.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21917.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21917.pdf,39064.111455643,34475484.2898881
464,21918,24,2421918,B5,G6350,S,21918,24,45741330,6628177,4284,1589,4096,55,6,30,2,5,45,45,95.6,1.3,0.1,0.7,0,0.1,1.1,1.1,481,11.2,41.2,69,4.3,61.1,30,12.8,24.2,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21918.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21918.pdf,61821.8578980154,77729624.30403
465,21919,24,2421919,B5,G6350,S,21919,24,112736603,22553121,3467,2179,3321,43,14,8,0,2,39,40,95.8,1.2,0.4,0.2,0,0.1,1.1,1.2,676,19.5,47.1,84,3.9,52.7,39.5,12.9,21.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21919.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21919.pdf,147884.438244776,193721075.162114
466,21920,24,2421920,B5,G6350,S,21920,24,1290392,0,257,100,228,17,0,0,0,0,10,2,88.7,6.6,0,0,0,0,3.9,0.8,27,10.5,42.6,8,8,40.2,41.3,31.5,26.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21920.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21920.pdf,6961.72665778523,2179865.60442046
467,21921,24,2421921,B5,G6350,S,21921,24,244939298,14098236,44471,17232,36707,3953,98,673,20,37,989,1994,82.5,8.9,0.2,1.5,0,0.1,2.2,4.5,4818,10.8,36.7,892,5.2,51.9,24.5,31.3,34.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21921.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21921.pdf,186900.897991879,415878947.712154
468,21930,24,2421930,B5,G6350,S,21930,24,1907039,186920,94,58,67,21,0,1,0,0,3,2,71.3,22.3,0,1.1,0,0,3.2,2.1,22,23.4,50.3,8,13.8,23.9,54.2,47.8,21.4,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21930.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21930.pdf,10590.4002439781,3211249.8732464
