OBJECTID_1,ZCTA5CE10,FIRST_STAT,FIRST_GEOI,FIRST_CLAS,FIRST_MTFC,FIRST_FUNC,ZCTA5N,STATE,AREALAND,AREAWATR,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
403,21782,24,2421782,B5,G6350,S,21782,24,77664726,5502596,4097,1730,3900,21,8,12,0,0,104,52,95.2,0.5,0.2,0.3,0,0,2.5,1.3,549,13.4,43.9,107,6.2,59.9,29.3,15.3,20.6,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21782.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21782.pdf,120821.517557097,139692322.542663
404,21783,24,2421783,B5,G6350,S,21783,24,116295091,140928,9130,3522,8494,187,16,54,0,6,109,264,93,2,0.2,0.6,0,0.1,1.2,2.9,1158,12.7,39.9,201,5.7,58.3,27.2,19.9,24.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21783.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21783.pdf,109772.345090211,196662294.420931
405,21784,24,2421784,B5,G6350,S,21784,24,149010950,5264230,37941,13454,33968,1651,74,829,2,46,492,879,89.5,4.4,0.2,2.2,0,0.1,1.3,2.3,4649,12.3,41.3,352,2.6,68.5,19.8,14.6,15.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21784.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21784.pdf,159692.377724427,250480389.000435
406,21787,24,2421787,B5,G6350,S,21787,24,148804253,629914,10693,4171,9839,311,19,63,6,3,207,245,92,2.9,0.2,0.6,0.1,0,1.9,2.3,1578,14.8,40.3,216,5.2,59.4,25.2,20.6,28.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21787.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21787.pdf,115970.996426357,252466551.578165
407,21788,24,2421788,B5,G6350,S,21788,24,172898559,1379503,11622,4718,11055,94,33,99,2,3,114,222,95.1,0.8,0.3,0.9,0,0,1,1.9,1729,14.9,42.4,250,5.3,59.1,25.2,21,23.8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21788.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21788.pdf,127332.964336428,293867337.892187
408,21790,24,2421790,B5,G6350,S,21790,24,10146412,34788,100,44,87,0,0,1,0,0,2,10,87,0,0,1,0,0,2,10,19,19,45.7,0,0,41.9,40,30.2,12.5,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21790.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21790.pdf,28686.3614491418,17006223.5341022
409,21791,24,2421791,B5,G6350,S,21791,24,127672231,204244,5281,2053,4993,123,7,14,0,3,52,89,94.5,2.3,0.1,0.3,0,0.1,1,1.7,777,14.7,42.7,133,6.5,57.5,26.6,21.6,23.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21791.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21791.pdf,108893.221831865,215295634.266633
410,21793,24,2421793,B5,G6350,S,21793,24,52831424,36425,9775,3591,8131,661,13,187,2,6,239,536,83.2,6.8,0.1,1.9,0,0.1,2.4,5.5,1167,11.9,39.5,173,4.8,67,18.1,18.1,23.3,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21793.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21793.pdf,53512.7852837683,88885217.9217699
411,21794,24,2421794,B5,G6350,S,21794,24,22605176,84882,2434,777,1911,134,2,271,1,4,61,50,78.5,5.5,0.1,11.1,0,0.2,2.5,2.1,260,10.7,42.9,19,2.4,74.1,20.7,6.6,8,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21794.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21794.pdf,35813.647246382,37937954.9386466
412,21795,24,2421795,B5,G6350,S,21795,24,78228891,4404361,9233,3958,8576,245,14,106,1,4,143,144,92.9,2.7,0.2,1.1,0,0,1.5,1.6,1822,19.7,43.8,259,6.5,44.6,33.9,32.5,30.7,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_ZCTA/21795.pdf,http://mdpgis.mdp.state.md.us/census2010/PDF/00_SF1_9PROFILE_ZCTAW/21795.pdf,88998.4961123467,139291654.440014
